Latitude,Month,Year,LANCE,Trawl,N,Length,Sex,PSEUDAN,MAZOCRAES,LECITH,PARAHEM,HYSTER,CONTRAC,ANISAK.,TERRAN,CORYNOS,SCOLEX,Psudophyll,Bothrioceph.,NOTHOBOM
36,4,94,L12,1,1,142,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,2,149,M,0,0,0,0,0,0,0,0,0,2,0,0,0
36,4,94,L12,1,3,150,M,0,0,0,0,0,1,0,0,0,0,0,0,0
36,4,94,L12,1,4,98,F,0,0,6,0,0,0,0,0,0,5,0,0,1
36,4,94,L12,1,5,110,F,0,0,0,0,1,0,0,0,0,3,0,0,0
36,4,94,L12,1,6,152,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,7,141,F,0,0,1,0,1,0,0,0,0,0,0,0,0
36,4,94,L12,1,8,144,F,0,0,0,0,2,0,0,0,0,0,0,0,0
36,4,94,L12,1,9,166,M,0,0,1,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,10,148,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,11,154,F,0,0,0,0,1,0,0,0,0,1,0,0,0
36,4,94,L12,1,12,145,F,1,0,2,0,0,1,0,0,0,5,0,0,0
36,4,94,L12,1,13,149,F,0,0,2,0,1,0,0,0,0,0,0,0,0
36,4,94,L12,1,14,141,F,0,0,0,0,1,0,0,0,0,4,0,0,0
36,4,94,L12,1,15,149,M,0,0,1,0,3,0,0,0,0,3,0,0,0
36,4,94,L12,1,16,151,F,0,0,2,0,0,2,0,0,0,0,0,0,0
36,4,94,L12,1,17,136,M,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,18,125,M,0,0,2,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,19,119,F,0,0,0,1,0,1,0,0,0,0,0,0,0
36,4,94,L12,1,20,131,M,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,21,145,M,0,0,0,0,0,0,0,0,0,3,0,0,0
36,4,94,L12,1,22,158,F,0,0,0,0,2,1,0,0,0,0,0,0,0
36,4,94,L12,1,23,133,M,0,0,2,0,0,0,0,0,0,17,0,0,0
36,4,94,L12,1,24,142,M,0,0,0,0,1,0,0,0,0,0,0,0,0
36,4,94,L12,1,25,98,F,0,0,2,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,26,125,M,0,0,1,0,1,0,0,0,0,0,0,0,0
36,4,94,L12,1,27,95,F,0,0,1,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,28,116,F,0,0,2,0,0,1,0,0,0,3,0,0,0
36,4,94,L12,1,29,131,F,0,0,0,0,0,0,0,0,0,1,0,0,0
36,4,94,L12,1,30,131,F,0,0,0,0,0,0,0,0,0,1,0,0,0
36,4,94,L12,1,31,126,M,0,0,0,0,0,1,0,0,0,0,0,0,0
36,4,94,L12,1,32,129,M,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,33,143,M,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,34,127,F,0,0,2,0,0,0,0,0,0,11,0,0,0
36,4,94,L12,1,35,129,M,0,0,3,0,0,0,0,0,0,34,0,0,0
36,4,94,L12,1,36,98,F,0,0,3,0,0,0,0,0,0,1,0,0,0
36,4,94,L12,1,37,122,M,0,0,2,0,0,0,0,0,0,4,0,0,0
36,4,94,L12,1,38,126,F,0,0,0,0,0,1,0,0,0,0,0,0,0
36,4,94,L12,1,39,113,M,0,0,0,0,0,0,0,0,0,1,0,0,0
36,4,94,L12,1,40,119,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,41,127,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,42,91,F,0,0,2,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,43,111,F,0,0,3,0,0,0,0,0,0,2,0,0,0
36,4,94,L12,1,44,94,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,45,89,F,0,0,1,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,46,83,F,0,0,2,1,0,0,0,0,0,2,0,0,0
36,4,94,L12,1,47,86,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,48,95,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,49,84,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,50,90,F,0,0,0,0,0,0,0,0,0,11,0,0,0
36,4,94,L12,1,51,154,F,0,0,0,0,1,0,0,0,0,0,0,0,0
36,4,94,L12,1,52,134,F,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,53,129,M,0,0,0,0,0,0,0,0,0,3,0,0,0
36,4,94,L12,1,54,134,F,0,0,1,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,55,132,F,0,0,14,0,0,1,0,0,0,1,0,0,0
36,4,94,L12,1,56,131,F,0,0,0,0,0,0,0,0,0,6,0,0,0
36,4,94,L12,1,57,102,F,0,0,0,0,0,0,0,0,0,9,0,0,0
36,4,94,L12,1,58,112,M,0,0,2,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,59,93,F,0,0,1,0,0,0,0,0,0,1,0,0,0
36,4,94,L12,1,60,97,F,0,0,3,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,61,122,F,0,0,0,0,0,0,0,0,0,9,0,0,0
36,4,94,L12,1,62,128,F,0,0,2,0,0,0,0,0,0,3,0,0,0
36,4,94,L12,1,63,98,F,0,0,0,0,0,0,0,0,0,12,0,0,0
36,4,94,L12,1,64,92,M,0,0,8,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,65,91,F,0,0,3,0,0,0,0,0,0,2,0,0,0
36,4,94,L12,1,66,95,F,0,0,2,0,0,0,0,0,0,0,0,0,0
36,4,94,L12,1,67,98,F,0,0,0,0,0,0,0,0,0,0,0,0,0
